Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,C10u,C13585
"C10, C11",402,2,C15p,C1548
"C12, C13, C14, C15, C16, C17, C4, C6, C7, C8, C9",402,11,C100n,C1525
"C3, C5",402,2,C1u,C52923
D1,D_SOD-323,1,Esc,C2128
D10,D_SOD-323,1,F9,C2128
D11,D_SOD-323,1,F10,C2128
D12,D_SOD-323,1,F11,C2128
D13,D_SOD-323,1,F12,C2128
D14,D_SOD-323,1,PrtScrn,C2128
D15,D_SOD-323,1,Screen Lock,C2128
D16,D_SOD-323,1,Pause,C2128
D17,D_SOD-323,1,D,C2128
D18,D_SOD-323,1,KEY`,C2128
D19,D_SOD-323,1,KEY1,C2128
D2,D_SOD-323,1,F1,C2128
D20,D_SOD-323,1,KEY2,C2128
D21,D_SOD-323,1,KEY3,C2128
D22,D_SOD-323,1,KEY4,C2128
D23,D_SOD-323,1,KEY5,C2128
D24,D_SOD-323,1,KEY6,C2128
D25,D_SOD-323,1,KEY7,C2128
D26,D_SOD-323,1,KEY8,C2128
D27,D_SOD-323,1,KEY9,C2128
D28,D_SOD-323,1,KEY0,C2128
D29,D_SOD-323,1,KEY-,C2128
D3,D_SOD-323,1,F2,C2128
D30,D_SOD-323,1,KEY=,C2128
D31,D_SOD-323,1,BKSP,C2128
D32,D_SOD-323,1,Ins,C2128
D33,D_SOD-323,1,Home,C2128
D34,D_SOD-323,1,PgUP,C2128
D35,D_SOD-323,1,M1,C2128
D36,D_SOD-323,1,M2,C2128
D37,D_SOD-323,1,TAB,C2128
D38,D_SOD-323,1,KEYQ,C2128
D39,D_SOD-323,1,KEYW,C2128
D4,D_SOD-323,1,F3,C2128
D40,D_SOD-323,1,KEYE,C2128
D41,D_SOD-323,1,KEYR,C2128
D42,D_SOD-323,1,KEYT,C2128
D43,D_SOD-323,1,KEYY,C2128
D44,D_SOD-323,1,KEYU,C2128
D45,D_SOD-323,1,KEYI,C2128
D46,D_SOD-323,1,KEYO,C2128
D47,D_SOD-323,1,KEYP,C2128
D48,D_SOD-323,1,KEY[,C2128
D49,D_SOD-323,1,KEY],C2128
D5,D_SOD-323,1,F4,C2128
D50,D_SOD-323,1,KEY\,C2128
D51,D_SOD-323,1,Del,C2128
D52,D_SOD-323,1,End,C2128
D53,D_SOD-323,1,PgDN,C2128
D54,D_SOD-323,1,M3,C2128
D55,D_SOD-323,1,M4,C2128
D56,D_SOD-323,1,CAPS,C2128
D57,D_SOD-323,1,KEYA,C2128
D58,D_SOD-323,1,KEYS,C2128
D59,D_SOD-323,1,KEYD,C2128
D6,D_SOD-323,1,F5,C2128
D60,D_SOD-323,1,KEYF,C2128
D61,D_SOD-323,1,KEYG,C2128
D62,D_SOD-323,1,KEYH,C2128
D63,D_SOD-323,1,KEYJ,C2128
D64,D_SOD-323,1,KEYK,C2128
D65,D_SOD-323,1,KEYL,C2128
D66,D_SOD-323,1,KEY;,C2128
D67,D_SOD-323,1,"KEY""",C2128
D68,D_SOD-323,1,ENTER,C2128
D69,D_SOD-323,1,M5,C2128
D7,D_SOD-323,1,F6,C2128
D70,D_SOD-323,1,M6,C2128
D71,D_SOD-323,1,LSHIFT,C2128
D72,D_SOD-323,1,KEYZ,C2128
D73,D_SOD-323,1,KEYX,C2128
D74,D_SOD-323,1,KEYC,C2128
D75,D_SOD-323,1,KEYV,C2128
D76,D_SOD-323,1,KEYB,C2128
D77,D_SOD-323,1,KEYN,C2128
D78,D_SOD-323,1,KEYM,C2128
D79,D_SOD-323,1,"KEY,",C2128
D8,D_SOD-323,1,F7,C2128
D80,D_SOD-323,1,KEY.,C2128
D81,D_SOD-323,1,KEY/,C2128
D82,D_SOD-323,1,RSHIFT,C2128
D83,D_SOD-323,1,Up Arrow,C2128
D84,D_SOD-323,1,M7,C2128
D85,D_SOD-323,1,M8,C2128
D86,D_SOD-323,1,LCTRL,C2128
D87,D_SOD-323,1,LWIN,C2128
D88,D_SOD-323,1,LALT,C2128
D89,D_SOD-323,1,SPACE,C2128
D9,D_SOD-323,1,F8,C2128
D90,D_SOD-323,1,RALT,C2128
D91,D_SOD-323,1,RWIN,C2128
D92,D_SOD-323,1,FN,C2128
D93,D_SOD-323,1,RCTRL,C2128
D94,D_SOD-323,1,Left Arrow,C2128
D95,D_SOD-323,1,Down Arrow,C2128
D96,D_SOD-323,1,Right Arrow,C2128
D97,D_SOD-323,1,M9,C2128
D98,D_SOD-323,1,M10,C2128
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,DNF
J3,Korean Hroparts Elec - Type C 31 M 12 - 16P - USB 2.0,1,USBC,C165948
"R1, R2",603,2,R5.1k,C23186
"R3, R5",402,2,R1K,C11702
"R4, R8",402,2,R10K,C25744
"R6, R7",402,2,R27.4,C31439
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,1,RotaryEncoder_Switch,DNF
SW10,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F8,DNF
SW11,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F9,DNF
SW12,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F10,DNF
SW13,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F11,DNF
SW14,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F12,DNF
SW15,SW_Hotswap_Kailh_MX_Plated_1.00u,1,PrtScrn,DNF
SW16,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Screen Lock,DNF
SW17,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Pause,DNF
SW18,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY`,DNF
SW19,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY1,DNF
SW2,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Esc,DNF
SW20,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY2,DNF
SW21,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY3,DNF
SW22,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY4,DNF
SW23,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY5,DNF
SW24,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY6,DNF
SW25,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY7,DNF
SW26,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY8,DNF
SW27,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY9,DNF
SW28,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY0,DNF
SW29,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY-,DNF
SW3,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F1,DNF
SW30,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY=,DNF
SW31,SW_Hotswap_Kailh_MX_Plated_2.00u,1,BKSP,DNF
SW32,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Ins,DNF
SW33,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Home,DNF
SW34,SW_Hotswap_Kailh_MX_Plated_1.00u,1,PgUP,DNF
SW35,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M1,DNF
SW36,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M2,DNF
SW37,SW_Hotswap_Kailh_MX_Plated_1.50u,1,TAB,DNF
SW38,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYQ,DNF
SW39,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYW,DNF
SW4,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F2,DNF
SW40,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYE,DNF
SW41,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYR,DNF
SW42,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYT,DNF
SW43,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYY,DNF
SW44,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYU,DNF
SW45,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYI,DNF
SW46,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYO,DNF
SW47,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYP,DNF
SW48,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY[,DNF
SW49,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY],DNF
SW5,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F3,DNF
SW50,SW_Hotswap_Kailh_MX_Plated_1.50u,1,KEY\,DNF
SW51,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Del,DNF
SW52,SW_Hotswap_Kailh_MX_Plated_1.00u,1,End,DNF
SW53,SW_Hotswap_Kailh_MX_Plated_1.00u,1,PgDN,DNF
SW54,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M3,DNF
SW55,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M4,DNF
SW56,SW_Hotswap_Kailh_MX_Plated_1.75u,1,CAPS,DNF
SW57,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYA,DNF
SW58,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYS,DNF
SW59,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYD,DNF
SW6,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F4,DNF
SW60,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYF,DNF
SW61,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYG,DNF
SW62,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYH,DNF
SW63,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYJ,DNF
SW64,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYK,DNF
SW65,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYL,DNF
SW66,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY;,DNF
SW67,SW_Hotswap_Kailh_MX_Plated_1.00u,1,"KEY""",DNF
SW68,SW_Hotswap_Kailh_MX_Plated_2.25u,1,ENTER,DNF
SW69,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M5,DNF
SW7,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F5,DNF
SW70,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M6,DNF
SW71,SW_Hotswap_Kailh_MX_Plated_2.25u,1,LSHIFT,DNF
SW72,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYZ,DNF
SW73,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYX,DNF
SW74,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYC,DNF
SW75,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYV,DNF
SW76,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYB,DNF
SW77,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYN,DNF
SW78,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEYM,DNF
SW79,SW_Hotswap_Kailh_MX_Plated_1.00u,1,"KEY,",DNF
SW8,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F6,DNF
SW80,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY.,DNF
SW81,SW_Hotswap_Kailh_MX_Plated_1.00u,1,KEY/,DNF
SW82,SW_Hotswap_Kailh_MX_Plated_2.75u,1,RSHIFT,DNF
SW83,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Up Arrow,DNF
SW84,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M7,DNF
SW85,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M8,DNF
SW86,SW_Hotswap_Kailh_MX_Plated_1.25u,1,LCTRL,DNF
SW87,SW_Hotswap_Kailh_MX_Plated_1.25u,1,LWIN,DNF
SW88,SW_Hotswap_Kailh_MX_Plated_1.25u,1,LALT,DNF
SW89,SW_Hotswap_Kailh_MX_Plated_6.25u,1,SPACE,DNF
SW9,SW_Hotswap_Kailh_MX_Plated_1.00u,1,F7,DNF
SW90,SW_Hotswap_Kailh_MX_Plated_1.25u,1,RALT,DNF
SW91,SW_Hotswap_Kailh_MX_Plated_1.25u,1,RWIN,DNF
SW92,SW_Hotswap_Kailh_MX_Plated_1.25u,1,FN,DNF
SW93,SW_Hotswap_Kailh_MX_Plated_1.25u,1,RCTRL,DNF
SW94,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Left Arrow,DNF
SW95,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Down Arrow,DNF
SW96,SW_Hotswap_Kailh_MX_Plated_1.00u,1,Right Arrow,DNF
SW97,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M9,DNF
SW98,SW_Hotswap_Kailh_MX_Plated_1.00u,1,M10,DNF
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,C26537
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C97521
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,USB6B1,C7419953
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C20625731
