Designator,Mid X,Mid Y,Rotation,Layer
C1,430.1,-166.15,180.0,bottom
C10,447.92,-184.55,0.0,bottom
C11,450.17,-181.78,90.0,bottom
C12,437.9,-166.25,180.0,bottom
C13,444.52,-169.535,180.0,bottom
C14,429.95,-169.73,90.0,bottom
C15,436.65,-179.98,270.0,bottom
C16,431.35,-170.2,0.0,bottom
C17,430.39,-174.34,0.0,bottom
C2,424.4,-166.3,180.0,bottom
C3,432.35,-168.3,180.0,bottom
C4,435.7,-179.38,270.0,bottom
C5,431.35,-169.25,0.0,bottom
C6,444.54,-170.485,180.0,bottom
C7,443.57,-174.99,180.0,bottom
C8,445.92,-170.005,90.0,bottom
C9,441.7,-161.47,90.0,bottom
D1,77.35,-154.21,270.0,bottom
D10,286.98,-154.21,270.0,bottom
D11,305.96,-154.24,270.0,bottom
D12,325.05,-154.13,270.0,bottom
D13,343.97,-154.13,270.0,bottom
D14,367.96,-154.21,270.0,bottom
D15,386.85,-154.19,270.0,bottom
D16,405.96,-154.17,270.0,bottom
D17,459.7,-166.28,180.0,bottom
D18,77.4,-182.79,270.0,bottom
D19,96.33,-182.78,270.0,bottom
D2,115.44,-154.17,270.0,bottom
D20,115.39,-182.78,270.0,bottom
D21,134.48,-182.75,270.0,bottom
D22,153.59,-182.75,270.0,bottom
D23,172.55,-182.7,270.0,bottom
D24,191.72,-182.76,270.0,bottom
D25,210.82,-182.75,270.0,bottom
D26,229.74,-182.77,270.0,bottom
D27,248.8,-182.78,270.0,bottom
D28,267.76,-182.73,270.0,bottom
D29,286.9,-182.78,270.0,bottom
D3,134.65,-154.19,270.0,bottom
D30,305.99,-182.8,270.0,bottom
D31,332.63,-182.92,270.0,bottom
D32,367.95,-182.79,270.0,bottom
D33,387.07,-182.73,270.0,bottom
D34,406.0,-182.72,270.0,bottom
D35,429.76,-182.73,270.0,bottom
D36,448.91,-191.49,90.0,bottom
D37,78.95,-202.1225,270.0,bottom
D38,105.88,-201.83,270.0,bottom
